Time,Joint,ProximitySensor
1702214293593,0.0,0.0
1702214293608,0.0,0.0
1702214293608,0.0,0.0
1702214293650,0.0,0.0
1702214293650,0.0,0.0
1702214293650,0.0,0.0
1702214293746,0.0,0.0
1702214293746,-0.0,0.0
1702214293747,-0.0,0.0
1702214293786,0.0,0.0
1702214293786,0.0,0.0
1702214293786,0.0,0.0
1702214293835,0.0,0.0
1702214293835,-0.0,0.0
1702214293835,0.0,0.0
1702214293869,0.0,0.0
1702214293869,-0.0,0.0
1702214293869,0.0,0.0
1702214293909,0.0,0.0
1702214293909,-0.0,0.0
1702214293909,0.0,0.0
1702214293946,0.0,0.0
1702214293946,-0.0,0.0
1702214293946,0.0,0.0
1702214293966,0.0,0.0
1702214293967,-0.0,0.0
1702214293967,0.0,0.0
1702214293994,0.0,0.0
1702214293995,-0.0,0.0
1702214293995,0.0,0.0
1702214294015,0.0,0.0
1702214294015,-0.0,0.0
1702214294016,0.0,0.0
1702214294036,0.0,0.0
1702214294036,0.0,0.0
1702214294036,0.0,0.0
1702214294057,0.0,0.0
1702214294057,0.0,0.0
1702214294057,0.0,0.0
1702214294084,0.0,0.0
1702214294084,0.0,0.0
1702214294084,0.0,0.0
1702214294126,0.0,0.0
1702214294126,0.0,0.0
1702214294126,0.0,0.0
1702214294155,0.0,0.0
1702214294155,-0.0,0.0
1702214294155,0.0,0.0
1702214294175,0.0,0.0
1702214294175,-0.0,0.0
1702214294175,0.0,0.0
1702214294203,0.0,0.0
1702214294203,-0.0,0.0
1702214294203,0.0,0.0
1702214294245,0.0,0.0
1702214294245,-0.0,0.0
1702214294245,0.0,0.0
1702214294273,0.0,0.0
1702214294273,-0.0,0.0
1702214294273,0.0,0.0
1702214294293,0.0,0.0
1702214294294,-0.0,0.0
1702214294294,0.0,0.0
1702214294314,0.0,0.0
1702214294314,-0.0,0.0
1702214294314,-0.0,0.0
1702214294335,0.0,0.0
1702214294335,-0.0,0.0
1702214294335,-0.0,0.0
1702214294356,0.0,0.0
1702214294356,-0.0,0.0
1702214294356,0.0,0.0
1702214294402,0.0,0.0
1702214294402,-0.0,0.0
1702214294402,0.0,0.0
1702214294425,0.0,0.0
1702214294426,-0.0,0.0
1702214294426,0.0,0.0
1702214294447,0.0,0.0
1702214294447,-0.0,0.0
1702214294447,0.0,0.0
1702214294467,0.0,0.0
1702214294467,-0.0,0.0
1702214294468,0.0,0.0
1702214294488,0.0,0.0
1702214294488,-0.0,0.0
1702214294488,0.0,0.0
1702214294509,0.0,0.0
1702214294509,-0.0,0.0
1702214294509,0.0,0.0
1702214294537,0.0,0.0
1702214294537,-0.0,0.0
1702214294537,0.0,0.0
1702214294558,0.0,0.0
1702214294558,-0.0,0.0
1702214294558,0.0,0.0
1702214294579,0.0,0.0
1702214294579,-0.0,0.0
1702214294579,0.0,0.0
1702214294599,0.0,0.0
1702214294600,-0.0,0.0
1702214294600,-0.0,0.0
1702214294627,0.0,0.0
1702214294627,-0.0,0.0
1702214294627,-0.0,0.0
1702214294675,0.0,0.0
1702214294675,-0.0,0.0
1702214294676,0.0,0.0
1702214294718,0.0,0.0
1702214294718,-0.0,0.0
1702214294718,0.0,0.0
1702214294739,0.0,0.0
1702214294739,-0.0,0.0
1702214294739,0.0,0.0
1702214294766,0.0,0.0
1702214294766,-0.0,0.0
1702214294766,0.0,0.0
1702214294808,0.0,0.0
1702214294808,-0.0,0.0
1702214294808,0.0,0.0
1702214294850,0.0,0.0
1702214294850,0.0,0.0
1702214294850,0.0,0.0
1702214294884,0.0,0.0
1702214294884,0.0,0.0
1702214294884,0.0,0.0
1702214294926,0.0,0.0
1702214294926,-0.0,0.0
1702214294926,0.0,0.0
1702214294977,0.0,0.0
1702214294977,-0.0,0.0
1702214294978,0.0,0.0
1702214295023,0.0,0.0
1702214295023,-0.0,0.0
1702214295023,0.0,0.0
1702214295092,0.0,0.0
1702214295093,-0.0,0.0
1702214295093,0.0,0.0
1702214295135,0.0,0.0
1702214295135,0.0,0.0
1702214295135,0.0,0.0
1702214295155,0.0,0.0
1702214295156,-0.0,0.0
1702214295156,0.0,0.0
1702214295184,0.0,0.0
1702214295184,-0.0,0.0
1702214295184,0.0,0.0
1702214295219,0.0,0.0
1702214295219,-0.0,0.0
1702214295220,0.0,0.0
1702214295246,0.0,0.0
1702214295246,-0.0,0.0
1702214295246,0.0,0.0
1702214295266,0.0,0.0
1702214295267,-0.0,0.0
1702214295267,0.0,0.0
1702214295294,0.0,0.0
1702214295294,-0.0,0.0
1702214295294,-0.0,0.0
1702214295315,0.0,0.0
1702214295316,-0.0,0.0
1702214295316,-0.0,0.0
1702214295336,0.0,0.0
1702214295336,-0.0,0.0
1702214295336,-0.0,0.0
1702214295357,0.0,0.0
1702214295357,-0.0,0.0
1702214295357,-0.0,0.0
1702214295392,0.0,0.0
1702214295392,-0.0,0.0
1702214295392,-0.0,0.0
1702214295420,0.0,1.0
1702214295420,-0.0,1.0
1702214295420,-0.0,1.0
1702214295449,0.0,1.0
1702214295449,0.0,1.0
1702214295449,-0.0,1.0
1702214295483,0.0,1.0
1702214295483,0.25,1.0
1702214295484,0.0,1.0
1702214295523,0.0,1.0
1702214295523,0.25,1.0
1702214295523,0.0,1.0
1702214295558,0.0,1.0
1702214295558,0.38,1.0
1702214295558,0.0,1.0
1702214295600,0.0,1.0
1702214295600,0.51,1.0
1702214295600,0.0,1.0
1702214295635,0.0,1.0
1702214295635,0.63,1.0
1702214295635,0.0,1.0
1702214295682,0.0,1.0
1702214295683,0.88,1.0
1702214295683,0.13,1.0
1702214295719,0.0,1.0
1702214295719,0.88,1.0
1702214295719,0.13,1.0
1702214295739,0.0,1.0
1702214295740,1.01,1.0
1702214295740,0.26,1.0
1702214295767,0.0,1.0
1702214295767,1.14,1.0
1702214295767,0.4,1.0
1702214295804,0.0,1.0
1702214295804,1.27,1.0
1702214295805,0.53,1.0
1702214295847,0.0,1.0
1702214295847,1.4,1.0
1702214295848,0.66,1.0
1702214295885,0.0,1.0
1702214295885,1.52,1.0
1702214295885,0.79,1.0
1702214295920,0.0,1.0
1702214295920,1.39,1.0
1702214295920,0.92,1.0
1702214295948,0.0,1.0
1702214295948,1.27,1.0
1702214295948,1.04,1.0
1702214295968,0.0,1.0
1702214295969,1.14,1.0
1702214295969,1.17,1.0
1702214295990,0.0,1.0
1702214295990,1.02,1.0
1702214295990,1.3,1.0
1702214296010,0.0,1.0
1702214296011,0.89,1.0
1702214296011,1.43,1.0
1702214296038,0.0,1.0
1702214296038,0.77,1.0
1702214296038,1.53,1.0
1702214296059,0.0,1.0
1702214296059,0.64,1.0
1702214296059,1.57,1.0
1702214296093,0.0,1.0
1702214296093,0.52,1.0
1702214296093,1.57,1.0
1702214296135,0.0,1.0
1702214296135,0.39,1.0
1702214296135,1.57,1.0
1702214296157,0.0,1.0
1702214296157,0.26,1.0
1702214296157,1.57,1.0
1702214296185,0.0,1.0
1702214296185,0.14,1.0
1702214296185,1.57,1.0
1702214296205,0.0,1.0
1702214296205,-0.12,1.0
1702214296205,1.57,1.0
1702214296233,0.0,1.0
1702214296233,-0.12,1.0
1702214296233,1.57,1.0
1702214296281,0.0,1.0
1702214296281,-0.25,1.0
1702214296282,1.57,1.0
1702214296341,0.0,1.0
1702214296341,-0.37,1.0
1702214296342,1.57,1.0
1702214296372,0.0,1.0
1702214296372,-0.5,1.0
1702214296372,1.57,1.0
1702214296400,0.0,1.0
1702214296401,-0.63,1.0
1702214296401,1.57,1.0
1702214296430,0.0,1.0
1702214296430,-0.88,1.0
1702214296430,1.44,1.0
1702214296476,0.0,1.0
1702214296476,-0.88,1.0
1702214296476,1.44,1.0
1702214296504,0.0,1.0
1702214296504,-1.01,1.0
1702214296504,1.3,1.0
1702214296534,0.0,1.0
1702214296534,-1.14,1.0
1702214296534,1.17,1.0
1702214296573,0.0,1.0
1702214296573,-1.27,1.0
1702214296573,1.04,1.0
1702214296602,0.0,1.0
1702214296602,-1.53,1.0
1702214296602,0.78,1.0
1702214296622,0.0,1.0
1702214296623,-1.53,1.0
1702214296623,0.78,1.0
1702214296643,0.0,1.0
1702214296643,-1.57,1.0
1702214296643,0.66,1.0
1702214296673,0.0,1.0
1702214296673,-1.57,1.0
1702214296673,0.4,1.0
1702214296718,0.0,1.0
1702214296718,-1.58,1.0
1702214296718,0.28,1.0
1702214296740,0.0,1.0
1702214296740,-1.58,1.0
1702214296741,0.28,1.0
1702214296762,0.0,1.0
1702214296762,-1.58,1.0
1702214296762,0.15,1.0
1702214296782,0.0,1.0
1702214296782,-1.58,1.0
1702214296783,0.02,1.0
1702214296810,0.0,1.0
1702214296810,-1.57,1.0
1702214296810,-0.11,1.0
1702214296852,0.0,1.0
1702214296852,-1.57,1.0
1702214296852,-0.24,1.0
1702214296899,0.0,1.0
1702214296899,-1.57,1.0
1702214296899,-0.36,1.0
1702214296946,0.0,1.0
1702214296946,-1.57,1.0
1702214296947,-0.49,1.0
1702214296992,0.0,1.0
1702214296992,-1.57,1.0
1702214296992,-0.61,1.0
1702214297037,0.0,1.0
1702214297037,-1.57,1.0
