TopPosition,BottomPosition
13.761569,-13.940707
27.445084,-27.795568
40.97028,-41.481487
54.257755,-54.916435
67.22945,-68.01995
79.80906,-80.7136
91.922585,-92.92148
103.49867,-104.57061
114.46908,-115.591446
124.769104,-125.918175
134.3379,-135.48924
143.11896,-144.24762
151.06027,-152.14117
158.11487,-159.12297
164.24086,-165.15154
169.40187,-170.1911
173.5672,-174.2119
176.71193,-177.19016
178.81721,-179.10841
179.8703,-179.95554
179.86464,-179.72675
178.79996,-178.4237
176.68214,-176.05453
173.5234,-172.63365
169.34204,-168.18176
164.1624,-162.7257
158.01474,-156.29831
150.93507,-148.93817
142.96492,-140.68947
134.15103,-131.6016
124.545235,-121.72898
114.204,-111.13069
103.188194,-99.87009
91.56269,-88.01448
79.39597,-75.634674
66.759766,-62.8046
53.72859,-49.600822
40.37932,-36.102127
26.790733,-22.389019
13.043067,-8.543263
-0.7824942,5.3526115
-14.604273,19.215801
-28.340593,32.963722
-41.910255,46.514492
-55.233032,59.787434
-68.230125,72.70353
-80.824646,85.18593
-92.94207,97.160355
-104.51068,108.55559
-115.46197,119.30387
-125.731094,129.34128
-135.25722,138.6082
-143.98389,147.04953
-151.85938,154.61519
-158.83699,161.2602
-164.87534,166.94516
-169.93854,171.63635
-173.99654,175.30598
-177.0252,177.93233
-179.00652,179.49988
-179.92859,179.99939
-179.78589,179.42805
-178.57912,177.78935
-176.31532,175.09311
-173.00781,171.35551
-168.67606,166.59885
-163.3456,160.85152
-157.04791,154.14775
-149.8202,146.52751
-141.70522,138.0362
-132.75089,128.72433
-123.010216,118.64737
-112.540825,107.86524
-101.40465,96.44212
-89.66761,84.44595
-77.3992,71.94807
-64.672035,59.0228
-51.561497,45.746986
-38.145226,32.199554
-24.502686,18.461035
-10.714691,4.613083
3.137069,-9.262007
16.970524,-23.081781
30.703701,-36.76413
44.25522,-50.227757
57.54476,-63.392685
70.493546,-76.18071
83.02483,-88.51588
95.06432,-100.32492
106.540634,-111.53772
117.38572,-122.08769
127.535286,-131.91219
136.92911,-140.95288
145.5115,-149.15611
153.23152,-156.47319
160.04341,-162.86069
165.90672,-168.2807
170.78665,-172.70108
174.65427,-176.09561
177.48656,-178.44417
179.26671,-179.73286
179.98413,-179.95406
179.63452,-179.10646
178.21994,-177.19519
175.7487,-174.23158
172.23544,-170.2333
167.70097,-165.22414
162.17213,-159.23383
155.68166,-152.298
148.26804,-144.45784
139.97517,-135.75996
130.85225,-126.256035
120.95332,-116.00247
110.33706,-105.06021
99.06642,-93.49423
87.20822,-81.373215
74.83277,-68.769135
62.01344,-55.756855
48.826244,-42.413628
35.349396,-28.818678
21.662804,-15.05273
7.847638,-1.1975085
-6.0141654,12.664726
-19.840397,26.45168
-33.54905,40.0815
-47.058815,53.473286
-60.289562,66.54753
-73.16281,79.22664
-85.602196,91.43533
-97.53393,103.10116
-108.88723,114.15487
-119.59474,124.53086
-129.59296,134.16756
-138.82254,143.00777
-147.22874,150.99901
-154.76169,158.09387
-161.37668,164.25026
-167.03445,169.43163
-171.70145,173.60725
-175.34998,176.75235
-177.95836,178.84827
-179.5111,179.88258
-179.99901,179.84917
-179.41916,178.74823
-177.77498,176.58632
-175.07622,173.37628
-171.33887,169.13716
-166.58508,163.89418
-160.84305,157.6784
-154.14682,150.52678
-146.53613,142.48175
-138.05612,133.59108
-128.75706,123.90754
-118.69415,113.48861
-107.92704,102.396126
-96.51963,90.69594
-84.53957,78.4575
-72.05795,65.75343
-59.148796,52.659157
-45.8887,39.252377
-32.356323,25.61267
-18.631956,11.82099
-4.7970133,-2.0408156
9.066421,-15.890476
22.876099,-29.645798
36.550087,-43.225143
50.00726,-56.547924
63.167774,-69.53508
75.953545,-82.10953
88.28873,-94.196655
100.10011,-105.72473
111.317635,-116.62533
121.874725,-126.83377
131.70876,-136.28949
140.76137,-144.93636
148.97884,-152.72307
156.31244,-159.60341
162.71863,-165.53656
168.1594,-170.48732
172.60246,-174.42632
176.02145,-177.33015
178.3961,-179.18161
179.71228,-179.96973
179.96219,-179.68982
179.14435,-178.34355
177.2636,-175.9389
174.33109,-172.49017
170.36423,-168.0178
165.38654,-162.54837
159.42755,-156.11432
152.52263,-148.75381
144.71274,-140.51059
136.0442,-131.4335
126.56846,-121.57648
116.34173,-110.99799
105.42469,-99.76081
93.88211,-87.93163
81.78248,-75.58066
69.197586,-62.781185
56.202106,-49.609158
42.87314,-36.142746
29.289778,-22.46187
15.532614,-8.647709
1.6832745,5.2177567
-12.176063,19.052248
-25.963165,32.77367
-39.596226,46.30059
-52.994347,59.552753
-66.07804,72.45151
-78.76967,84.92031
-90.99393,96.88518
-102.67827,108.2751
